Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr]
1905.01.01,0.232906,,-0.607428,-5.44915,4.23429,8.586254
1905.01.02,0.999188,,-12.0827,-20.5513,-3.61412,8.601124
1905.01.03,0,,-16.2536,-22.0908,-10.4163,8.617373
1905.01.04,3.49002,,-14.1721,-19.9839,-8.36036,8.634982
1905.01.05,3.99551,,-10.2969,-12.2808,-8.31298,8.653933
1905.01.06,0.194216,,-10.3763,-14.0435,-6.70919,8.674205
1905.01.07,0.517909,,-12.2844,-16.4933,-8.0756,8.695779
1905.01.08,0.323693,,-21.1177,-29.3035,-12.932,8.718632
1905.01.09,1.22436,,-20.6716,-27.6323,-13.711,8.742741
1905.01.10,0,,-29.1528,-36.0263,-22.2793,8.768082
1905.01.11,0.138068,,-24.866,-31.3136,-18.4184,8.794631
1905.01.12,1.26482,,-20.8319,-25.8298,-15.8339,8.822363
1905.01.13,0,,-22.2513,-27.752,-16.7507,8.851251
1905.01.14,0,,-21.1874,-25.4251,-16.9497,8.881268
1905.01.15,0,,-18.0479,-22.1085,-13.9874,8.912388
1905.01.16,0.142419,,-14.2068,-19.4466,-8.96706,8.944583
1905.01.17,0,,-13.6635,-22.2986,-5.0285,8.977825
1905.01.18,0,,-10.8893,-19.3273,-2.45134,9.012086
1905.01.19,0,,-8.8322,-14.7563,-2.9081,9.047338
1905.01.20,0,,-10.718,-17.0721,-4.36384,9.083552
1905.01.21,0,,-17.6005,-21.1687,-14.0322,9.120700
1905.01.22,0,,-23.2033,-31.2705,-15.1361,9.158753
1905.01.23,0.0747706,,-20.8322,-27.3235,-14.341,9.197684
1905.01.24,0.647386,,-22.9265,-31.1151,-14.7378,9.237463
1905.01.25,0,,-27.0959,-32.8287,-21.363,9.278063
1905.01.26,0,,-20.2805,-30.1335,-10.4275,9.319455
1905.01.27,0,,-15.0643,-21.8547,-8.27388,9.361613
1905.01.28,0,,-23.8493,-31.7096,-15.9889,9.404509
1905.01.29,0,,-22.7944,-29.8161,-15.7728,9.448117
1905.01.30,0.00897247,,-22.8612,-27.8665,-17.8558,9.492409
1905.01.31,0.194216,,-21.5568,-26.8473,-16.2663,9.537359
1905.02.01,0,,-25.4483,-33.6321,-17.2646,9.582943
1905.02.02,0,,-31.2281,-36.3955,-26.0606,9.629135
1905.02.03,0,,-29.017,-36.044,-21.99,9.675910
1905.02.04,0,,-24.8691,-33.4614,-16.2768,9.723245
1905.02.05,0.18622,,-22.5253,-30.7384,-14.3122,9.771116
1905.02.06,0,,-18.5847,-25.7881,-11.3812,9.819500
